ResponseId,Age,EdLevel,Employment,WorkExp,YearsCode,DevType,OrgSize,ICorPM,RemoteWork,Industry,Country,Currency,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,annual_salary_usd,currency_code,currency_name,age_mid,age_known,exp_gt_code,ed_ordinal,ed_level_clean,employment_group,has_employer,job_block_missing,org_size_mid,org_size_log,org_size_cat,ic_or_pm,is_manager,remote_ordinal,remote_3cat,remote_cat,industry_clean,country_clean,region,country_grouped,paid_in_hard_currency,dev_type_clean,dev_type_grouped,role_family,n_lang,lang_answered,lang_javascript,lang_html_css,lang_sql,lang_python,lang_typescript,lang_bash_shell_all_shells,lang_c_sharp,lang_java,lang_powershell,lang_c_plus_plus,lang_go,lang_php,lang_c,lang_rust,lang_kotlin,n_db,db_answered,db_postgresql,db_mysql,db_sqlite,db_redis,db_microsoft_sql_server,db_mongodb,db_mariadb,db_elasticsearch,db_dynamodb,db_oracle,db_bigquery,db_supabase,salary_suspect_low,log_salary
10090,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,3.0,10.0,"Developer, full-stack",20 to 99 employees,Individual contributor,In-person,Software Development,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;Rust;TypeScript,Microsoft SQL Server;SQLite,34035.0,GBP,Pound sterling,21.0,True,False,2.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,True,False,60.0,1.7781512503836436,20 to 99 employees,Individual contributor,0.0,0.0,In-person,In-person,Software Development,United Kingdom,Western/Northern Europe,United Kingdom,True,"Developer, full-stack","Developer, full-stack",Engineering,10.0,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,2.0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,10.435144685882051
10097,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",13.0,20.0,"Developer, back-end",,,,"Internet, Telecomm or Information Services",Slovakia,EUR European Euro,C#;HTML/CSS;JavaScript;TypeScript,Oracle;PostgreSQL;SQLite,90491.0,EUR,European Euro,29.5,True,False,5.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Self-employed,False,True,,,Not applicable,Not applicable,,,Not applicable,Not applicable,"Internet, Telecomm or Information Services",Slovakia,Eastern Europe/Central Asia,Other: Eastern Europe/Central Asia,True,"Developer, back-end","Developer, back-end",Engineering,4.0,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,3.0,True,True,False,True,False,False,False,False,False,False,True,False,False,False,11.413005677228973
10100,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,6.0,"Developer, full-stack",20 to 99 employees,Individual contributor,Remote,Other,Poland,PLN Polish zloty,Bash/Shell (all shells);Elixir;Go;HTML/CSS;JavaScript;Lua;TypeScript,PostgreSQL,26198.0,PLN,Polish zloty,21.0,True,False,5.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,True,False,60.0,1.7781512503836436,20 to 99 employees,Individual contributor,0.0,3.0,Remote/flexible,Remote,Other,Poland,Eastern Europe/Central Asia,Poland,False,"Developer, full-stack","Developer, full-stack",Engineering,7.0,True,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,1.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,10.173438350957595
1011,35-44 years old,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",15.0,15.0,"Developer, desktop or enterprise applications",,,,Software Development,Pakistan,USD United States dollar,Bash/Shell (all shells);C;C#;HTML/CSS;Java;JavaScript;SQL,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,6000.0,USD,United States dollar,39.5,True,False,3.0,Some college/university study without earning a degree,Self-employed,False,True,,,Not applicable,Not applicable,,,Not applicable,Not applicable,Software Development,Pakistan,South Asia,Other: South Asia,True,"Developer, desktop or enterprise applications","Developer, desktop or enterprise applications",Engineering,7.0,True,True,True,True,False,False,True,True,True,False,False,False,False,True,False,False,4.0,True,True,True,True,False,True,False,False,False,False,False,False,False,False,8.699514748210191
10137,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,8.0,5.0,"Developer, desktop or enterprise applications",20 to 99 employees,Individual contributor,In-person,Other,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,C#;HTML/CSS;JavaScript;Python;SQL;Swift,Microsoft SQL Server,36758.0,GBP,Pound sterling,29.5,True,True,5.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,True,False,60.0,1.7781512503836436,20 to 99 employees,Individual contributor,0.0,0.0,In-person,In-person,Other,United Kingdom,Western/Northern Europe,United Kingdom,True,"Developer, desktop or enterprise applications","Developer, desktop or enterprise applications",Engineering,6.0,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,1.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,10.51211116802542
10138,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,14.0,21.0,"Developer, back-end",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Hungary,HUF Hungarian forint,HTML/CSS;JavaScript;PHP;PowerShell;SQL,BigQuery;MySQL;PostgreSQL;Redis;SQLite,52050.0,HUF,Hungarian forint,39.5,True,False,5.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,True,False,300.0,2.4771212547196626,100 to 499 employees,Individual contributor,0.0,1.0,Hybrid,"Hybrid (some remote, leans heavy to in-person)",Software Development,Hungary,Eastern Europe/Central Asia,Hungary,False,"Developer, back-end","Developer, back-end",Engineering,5.0,True,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,5.0,True,True,True,True,True,False,False,False,False,False,False,True,False,False,10.859960074043116
1015,65 years or older,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",28.0,35.0,"Developer, back-end",,,,Healthcare,Canada,CAD Canadian dollar,C++,,145917.0,CAD,Canadian dollar,70.0,True,False,5.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Self-employed,False,True,,,Not applicable,Not applicable,,,Not applicable,Not applicable,Healthcare,Canada,North America,Canada,False,"Developer, back-end","Developer, back-end",Engineering,1.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,,,,,,,,,,,,,False,11.890793245886288
10151,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,4.0,7.0,DevOps engineer or professional,20 to 99 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Belgium,EUR European Euro,Bash/Shell (all shells);C#;Dart;HTML/CSS;JavaScript;Lua;PowerShell;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;SQLite,51511.0,EUR,European Euro,29.5,True,False,5.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,True,False,60.0,1.7781512503836436,20 to 99 employees,Individual contributor,0.0,2.0,Hybrid,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Belgium,Western/Northern Europe,Belgium,True,DevOps engineer or professional,DevOps engineer or professional,Infrastructure,9.0,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,3.0,True,False,False,True,False,True,False,False,True,False,False,False,False,False,10.849550656077264
10164,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12.0,17.0,"Developer, embedded applications or devices",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Government,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,Microsoft SQL Server;PostgreSQL,98158.0,GBP,Pound sterling,29.5,True,False,6.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,True,False,300.0,2.4771212547196626,100 to 499 employees,Individual contributor,0.0,1.0,Hybrid,"Hybrid (some remote, leans heavy to in-person)",Government,United Kingdom,Western/Northern Europe,United Kingdom,True,"Developer, embedded applications or devices","Developer, embedded applications or devices",Engineering,11.0,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,False,2.0,True,True,False,False,False,True,False,False,False,False,False,False,False,False,11.494333704279097
10178,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,5.0,12.0,"Developer, full-stack",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,France,EUR European Euro,Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,BigQuery;Elasticsearch;MongoDB;MySQL,55687.0,EUR,European Euro,29.5,True,False,6.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,True,False,300.0,2.4771212547196626,100 to 499 employees,Individual contributor,0.0,1.0,Hybrid,"Hybrid (some remote, leans heavy to in-person)",Software Development,France,Western/Northern Europe,France,True,"Developer, full-stack","Developer, full-stack",Engineering,7.0,True,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,4.0,True,False,True,False,False,False,True,False,True,False,False,True,False,False,10.927502005497212
10189,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12.0,18.0,"Developer, back-end","10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Czech Republic,CZK Czech koruna,,,56167.0,CZK,Czech koruna,39.5,True,False,6.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,True,False,15000.0,4.176091259055681,"10,000 or more employees",Individual contributor,0.0,1.0,Hybrid,"Hybrid (some remote, leans heavy to in-person)",Software Development,Czech Republic,Eastern Europe/Central Asia,Czech Republic,False,"Developer, back-end","Developer, back-end",Engineering,,False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,False,10.936084674806935
10192,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,26.0,40.0,Data scientist,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Netherlands,EUR European Euro,Bash/Shell (all shells);C#;C++;Python;SQL;Visual Basic (.Net),Microsoft SQL Server;SQLite,89868.0,EUR,European Euro,49.5,True,False,6.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,True,False,15000.0,4.176091259055681,"10,000 or more employees",Individual contributor,0.0,2.0,Hybrid,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Netherlands,Western/Northern Europe,Netherlands,True,Data scientist,Data scientist,Data/AI,6.0,True,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,2.0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,11.406097206037368
1020,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,1.0,2.0,"Developer, desktop or enterprise applications",100 to 499 employees,Individual contributor,In-person,Software Development,Russian Federation,RUB Russian ruble,Java;SQL,Oracle;PostgreSQL,19139.0,RUB,Russian ruble,29.5,True,False,2.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,True,False,300.0,2.4771212547196626,100 to 499 employees,Individual contributor,0.0,0.0,In-person,In-person,Software Development,Russia,Eastern Europe/Central Asia,Russia,False,"Developer, desktop or enterprise applications","Developer, desktop or enterprise applications",Engineering,2.0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,2.0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,9.859483417038073
10224,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,30.0,40.0,"Developer, front-end",20 to 99 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Germany,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;TypeScript,MariaDB;MongoDB;Redis;SQLite,76570.0,EUR,European Euro,49.5,True,False,7.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,True,False,60.0,1.7781512503836436,20 to 99 employees,Individual contributor,0.0,1.0,Hybrid,"Hybrid (some remote, leans heavy to in-person)",Software Development,Germany,Western/Northern Europe,Germany,True,"Developer, front-end","Developer, front-end",Engineering,7.0,True,True,True,False,True,True,True,False,False,True,False,False,True,False,False,False,4.0,True,False,False,True,True,False,True,True,False,False,False,False,False,False,11.245960634107169
10237,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",12.0,15.0,"Developer, back-end",100 to 499 employees,Individual contributor,Remote,Software Development,Brazil,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Rust;SQL;TypeScript,PostgreSQL;Redis,66128.0,EUR,European Euro,29.5,True,False,5.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Self-employed,False,False,300.0,2.4771212547196626,100 to 499 employees,Individual contributor,0.0,3.0,Remote/flexible,Remote,Software Development,Brazil,Latin America,Brazil,True,"Developer, back-end","Developer, back-end",Engineering,7.0,True,True,True,True,False,True,True,False,False,False,False,False,True,False,True,False,2.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,11.099347536751514
10244,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,29.0,34.0,"Developer, desktop or enterprise applications","1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Retail and Consumer Services,Germany,EUR European Euro,C#,Microsoft SQL Server,99773.0,EUR,European Euro,59.5,True,False,5.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,True,False,3000.0,3.4771212547196626,"1,000 to 4,999 employees",Individual contributor,0.0,1.0,Hybrid,"Hybrid (some remote, leans heavy to in-person)",Retail and Consumer Services,Germany,Western/Northern Europe,Germany,True,"Developer, desktop or enterprise applications","Developer, desktop or enterprise applications",Engineering,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,11.51065288461455
10246,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,10.0,"Developer, full-stack","10,000 or more employees",Individual contributor,Remote,Other,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,C#;HTML/CSS;JavaScript;Python;TypeScript,Dynamodb;Snowflake,149756.0,GBP,Pound sterling,29.5,True,False,5.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,True,False,15000.0,4.176091259055681,"10,000 or more employees",Individual contributor,0.0,3.0,Remote/flexible,Remote,Other,United Kingdom,Western/Northern Europe,United Kingdom,True,"Developer, full-stack","Developer, full-stack",Engineering,5.0,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,2.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,11.916762581953007
10264,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",10.0,11.0,"Developer, back-end","Just me - I am a freelancer, sole proprietor, etc.",Individual contributor,Remote,Software Development,Poland,PLN Polish zloty,,,136450.0,PLN,Polish zloty,39.5,True,False,5.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Self-employed,False,False,1.0,0.0,"Just me - I am a freelancer, sole proprietor, etc.",Individual contributor,0.0,3.0,Remote/flexible,Remote,Software Development,Poland,Eastern Europe/Central Asia,Poland,False,"Developer, back-end","Developer, back-end",Engineering,,False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,False,11.823713526136485
10280,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",13.0,15.0,"Developer, mobile",,,,Retail and Consumer Services,Spain,EUR European Euro,Go;HTML/CSS;JavaScript;Kotlin;PHP;SQL;Swift;TypeScript,,127616.0,EUR,European Euro,29.5,True,False,5.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Self-employed,False,True,,,Not applicable,Not applicable,,,Not applicable,Not applicable,Retail and Consumer Services,Spain,Southern Europe,Spain,True,"Developer, mobile","Developer, mobile",Engineering,8.0,True,True,True,True,False,True,False,False,False,False,False,True,True,False,False,True,,False,,,,,,,,,,,,,False,11.756781033881456
10282,18-24 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,10.0,"Developer, mobile",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Government,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,Bash/Shell (all shells);Groovy;Java;Kotlin;Python;SQL,SQLite,61264.0,GBP,Pound sterling,21.0,True,False,5.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed,True,False,300.0,2.4771212547196626,100 to 499 employees,Individual contributor,0.0,1.0,Hybrid,"Hybrid (some remote, leans heavy to in-person)",Government,United Kingdom,Western/Northern Europe,United Kingdom,True,"Developer, mobile","Developer, mobile",Engineering,6.0,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,1.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,11.022947673717075
10287,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Not employed,7.0,8.0,"Developer, back-end",,,,,"Iran, Islamic Republic of...",IRR Iranian rial,Go;Java,Cassandra;Elasticsearch;H2;MySQL;Redis,7122.0,IRR,Iranian rial,29.5,True,False,5.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Not employed,False,True,,,Not applicable,Not applicable,,,Not applicable,Not applicable,Not applicable,Iran,Middle East/North Africa,Other: Middle East/North Africa,False,"Developer, back-end","Developer, back-end",Engineering,2.0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,5.0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,8.870943863837724
1029,35-44 years old,Some college/university study without earning a degree,Employed,12.0,15.0,"Developer, back-end",500 to 999 employees,Individual contributor,Remote,"Internet, Telecomm or Information Services",Poland,PLN Polish zloty,,Databricks SQL;PostgreSQL;Redis;SQLite,68225.0,PLN,Polish zloty,39.5,True,False,3.0,Some college/university study without earning a degree,Employed,True,False,750.0,2.8750612633917,500 to 999 employees,Individual contributor,0.0,3.0,Remote/flexible,Remote,"Internet, Telecomm or Information Services",Poland,Eastern Europe/Central Asia,Poland,False,"Developer, back-end","Developer, back-end",Engineering,,False,,,,,,,,,,,,,,,,4.0,True,True,False,True,True,False,False,False,False,False,False,False,False,False,11.13056634557654
